Name,Team,Position,Rank,ADP,ADP Differential,Week 17,Week 16,Week 15,Division,Exposure
Jeremy Ruckert,NYJ,TE,282,232.3,-49.7,BUF,LAR,JAX,AFC EAST,0.0
Tommy Tremble,CAR,TE,283,232.8,-50.2,TB,ARI,DAL,NFC SOUTH,0.0
D'Ernest Johnson,JAX,RB,284,228.4,-55.6,TEN,LV,NYJ,AFC SOUTH,0.0
Emari Demercado,ARI,RB,285,227.3,-57.7,LAR,CAR,NE,NFC WEST,0.0
Tyquan Thornton,NE,WR,286,229.4,-56.6,LAC,BUF,ARI,AFC EAST,0.0
Calvin Austin,PIT,WR,287,228.8,-58.2,KC,BAL,PHI,AFC NORTH,0.0
Isaac Guerendo,SF,RB,288,227.2,-60.8,DET,MIA,LAR,NFC WEST,0.0
Clyde Edwards-Helaire,KC,RB,289,225.9,-63.1,PIT,HOU,CLE,AFC WEST,8.0
Braxton Berrios,MIA,WR,290,225.7,-64.3,CLE,SF,HOU,AFC EAST,0.0
Tim Patrick,DET,WR,291,226.0,-65.0,SF,CHI,BUF,NFC NORTH,0.0
Laviska Shenault,SEA,WR,292,226.2,-65.8,CHI,MIN,GB,NFC WEST,0.0
Deuce Vaughn,DAL,RB,293,226.5,-66.5,PHI,TB,CAR,NFC EAST,4.0
Johnny Wilson,PHI,WR,294,231.2,-62.8,DAL,WAS,PIT,NFC EAST,0.0
Brandon Powell,MIN,WR,295,225.7,-69.3,GB,SEA,CHI,NFC NORTH,0.0
Tutu Atwell,LAR,WR,296,225.3,-70.7,ARI,NYJ,SF,NFC WEST,0.0
Mecole Hardman,KC,WR,297,224.7,-72.3,PIT,HOU,CLE,AFC WEST,0.0
Tyler Higbee,LAR,TE,298,230.5,-67.5,ARI,NYJ,SF,NFC WEST,0.0
Jacob Cowing,SF,WR,299,226.4,-72.6,DET,MIA,LAR,NFC WEST,0.0
Chris Moore,ARI,WR,300,260.0,-40.0,LAR,CAR,NE,NFC WEST,0.0
